Month,2016,2017,2018,2019,2020,2021,2022
1,25157,2868134,2913796,3020806,2740451,3022874,2928417
2,245303,2611526,2765939,2746747,2772437,2867058,2713216
3,2529206,2887216,3113184,2877683,2722125,2801841,2988279
4,2321756,2927012,299453,2970006,1929293,30371,2922955
5,2612378,2952183,2724472,2826295,2255698,3125149,
6,257669,2673045,2969824,2882544,2148399,306851,
7,2841267,2852292,3086315,2504754,2626427,3091223,
8,296097,2981321,2914206,2536573,2759058,3203383,
9,2788269,2986492,3080824,2394487,2645379,3107897,
10,296638,3095382,3223519,269047,2853744,2968449,
11,2672537,3075159,2911253,2656803,3017509,3133901,
12,2404204,2867874,2708686,2461766,2944336,2643682,
