Month,2016,2017,2018,2019,2020,2021,2022
1,212333,2293366,2368131,2451106,2170653,2443674,2296628
2,1936566,207346,2170824,2200532,2178222,2252776,2101716
3,2097748,2375179,2442014,2355977,2098985,2174911,2255852
4,1854489,2409201,2356472,2382641,1750599,2322002,2316471
5,2115,2497984,2239203,2295396,1717946,2419579,
6,2149622,2285293,2374735,227706,1678065,2386477,
7,2361876,2337139,2481177,1879477,2015007,245951,
8,2391591,2461266,2349081,1926313,2140395,2541996,
9,2296826,244165,2532742,1906233,2015008,2489439,
10,2482535,2494033,2556997,2193394,2172379,2284157,
11,2320969,2470478,2345018,2179277,2344082,2422817,
12,2214319,2432557,2438691,223293,2346943,2332424,
